PropertyType,Address,Description,Bedrooms,Bathrooms,Price GBP,Agent,Tel,Latitude,Longitude,geometry
Flat,"Rotherhithe New Road, London SE16",3 bed flat to rent,3.0,1.0,1842.0,"Marketed by Merlin Cooper, SW1W",020 8128 1578,51.49164,-0.04712,POINT (-0.04712 51.49164)
Studio,"Chingford Road, London E17",Studio to rent,1.0,1.0,750.0,"Marketed by Next Location Ltd Co Ltd, N16",020 8022 0049,51.59095,-0.01768,POINT (-0.01768 51.59095)
Flat,"Gateway, Walworth Road, London SE17",5 bed flat to rent,5.0,1.0,2708.0,"Marketed by Merlin Cooper, SW1W",020 8128 1578,51.48497,-0.09377,POINT (-0.09377000000000001 51.48497)
Flat,"Queens Drive, London N4",3 bed flat to rent,3.0,1.0,1770.0,"Marketed by Blackstones Estates, N8",020 3641 4305,51.56248,-0.09558,POINT (-0.09558 51.56248)
Flat,"Milton Court, Chesterton Close, Wandsworth SW18",1 bed flat to rent,1.0,,1500.0,"Marketed by Lets Find A Home, SW18",020 3641 0386,51.45735,-0.19938,POINT (-0.19938 51.45735)
Studio,"Overton Road, Leyton, London E10",Studio to rent,1.0,1.0,900.0,"Marketed by Lifestyle Property, E16",020 3544 7217,51.57002,-0.03372,POINT (-0.03372 51.57002)
Flat,"High Road, Chadwell Heath, Essex RM6",1 bed flat to rent,1.0,,1000.0,"Marketed by Lifestyle Property, E16",020 3544 7217,51.57071,0.12992,POINT (0.12992 51.57071)
Town house,"Gilbert Road, London SE11",2 bed town house to rent,2.0,2.0,2297.0,"Marketed by Ludlow Thompson - Kennington / Oval, SW9",020 3463 0348,51.49221,-0.10713,POINT (-0.10713 51.49221)
Flat,"Coldbath Street, London SE13",2 bed flat to rent,2.0,1.0,1650.0,"Marketed by Ludlow Thompson - Canada Water, SE16",020 3544 5674,51.47125,-0.01748,POINT (-0.01748 51.47125)
Flat,"Fulneck Place, London E1",2 bed flat to rent,2.0,2.0,1800.0,"Marketed by Ludlow Thompson - Docklands, E1",020 3551 9682,51.52071,-0.04987,POINT (-0.04987 51.52071)
